========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_RPT
Query File: graph/q6.sql
Database File: graph_db
Start Time: Thu Oct 16 12:43:18 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 779689
Memory monitoring started at: Thu Oct 16 12:43:18 UTC 2025
Memory CSV file: log/memory_duckdb_RPT_graph_q6_20251016_124318_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 9164 KB at 0s
New Peak VSZ: 50140 KB at 0s
New Peak RSS: 117744 KB at 0s
New Peak VSZ: 1697048 KB at 0s
New Peak CPU: 187% at 0s
New Peak RSS: 136220 KB at 1s
New Peak VSZ: 5578520 KB at 1s
New Peak CPU: 415% at 1s
New Peak RSS: 168252 KB at 1s
New Peak VSZ: 5603096 KB at 1s
New Peak RSS: 214972 KB at 2s
New Peak VSZ: 5653272 KB at 2s
New Peak CPU: 422% at 2s
New Peak RSS: 227864 KB at 2s
New Peak VSZ: 5663512 KB at 2s
New Peak RSS: 242424 KB at 3s
New Peak VSZ: 5688088 KB at 3s
New Peak RSS: 260296 KB at 4s
New Peak VSZ: 5702424 KB at 4s
New Peak RSS: 273480 KB at 4s
New Peak VSZ: 5718808 KB at 4s
New Peak RSS: 291492 KB at 5s
New Peak RSS: 305516 KB at 5s
New Peak VSZ: 5753624 KB at 5s
New Peak RSS: 322972 KB at 6s
New Peak VSZ: 5778200 KB at 6s
New Peak RSS: 339804 KB at 6s
New Peak RSS: 341868 KB at 7s
New Peak RSS: 345180 KB at 7s
New Peak RSS: 349556 KB at 8s
New Peak VSZ: 5794584 KB at 8s
New Peak RSS: 356360 KB at 8s
New Peak RSS: 361136 KB at 9s
New Peak RSS: 365880 KB at 10s
New Peak RSS: 370048 KB at 10s
New Peak VSZ: 5829400 KB at 10s
Sample 20: RSS=361.38MB, VSZ=5692.77MB, CPU=266%, Elapsed=10s
New Peak RSS: 374948 KB at 11s
New Peak RSS: 380672 KB at 11s
New Peak RSS: 386364 KB at 12s
New Peak RSS: 390572 KB at 12s
New Peak RSS: 395080 KB at 13s
New Peak VSZ: 5853976 KB at 13s
New Peak RSS: 399492 KB at 13s
