========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_RPT
Query File: job_agg/22c.sql
Database File: job_db
Start Time: Thu Oct 16 12:24:32 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 737046
Memory monitoring started at: Thu Oct 16 12:24:32 UTC 2025
Memory CSV file: log/memory_duckdb_RPT_job_agg_22c_20251016_122432_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 7168 KB at 0s
New Peak VSZ: 50140 KB at 0s
New Peak RSS: 678492 KB at 1s
New Peak VSZ: 6209868 KB at 1s
New Peak RSS: 1867936 KB at 1s
New Peak VSZ: 7514444 KB at 1s
New Peak CPU: 1306% at 1s
New Peak RSS: 3196032 KB at 2s
New Peak VSZ: 9120476 KB at 2s
New Peak CPU: 3279% at 2s
New Peak RSS: 5271916 KB at 2s
New Peak VSZ: 11459424 KB at 2s
New Peak RSS: 6928428 KB at 3s
New Peak VSZ: 13179744 KB at 3s
New Peak CPU: 3625% at 3s
New Peak RSS: 8367028 KB at 3s
New Peak VSZ: 14662628 KB at 3s
New Peak RSS: 9890076 KB at 4s
New Peak VSZ: 16284776 KB at 4s
New Peak CPU: 3914% at 4s
New Peak RSS: 11323424 KB at 5s
New Peak VSZ: 18609392 KB at 5s
New Peak RSS: 12034032 KB at 5s
New Peak VSZ: 18609656 KB at 5s
New Peak RSS: 12370008 KB at 6s
New Peak VSZ: 18871800 KB at 6s
New Peak RSS: 12677672 KB at 6s
New Peak VSZ: 19265016 KB at 6s
New Peak RSS: 12987628 KB at 7s
New Peak VSZ: 20051448 KB at 7s
New Peak RSS: 13291368 KB at 7s
New Peak VSZ: 20772344 KB at 7s
New Peak RSS: 13601412 KB at 8s
New Peak VSZ: 20837880 KB at 8s
New Peak RSS: 13919688 KB at 8s
New Peak RSS: 14231496 KB at 9s
New Peak VSZ: 20919800 KB at 9s
New Peak RSS: 14544072 KB at 10s
New Peak VSZ: 21165560 KB at 10s
New Peak RSS: 14856016 KB at 10s
New Peak VSZ: 21411456 KB at 10s
New Peak RSS: 15183656 KB at 11s
New Peak VSZ: 22345344 KB at 11s
Sample 20: RSS=14827.79MB, VSZ=21821.62MB, CPU=1607%, Elapsed=11s
New Peak RSS: 15495672 KB at 11s
New Peak VSZ: 23164544 KB at 11s
New Peak RSS: 15814732 KB at 12s
New Peak VSZ: 23492356 KB at 12s
New Peak RSS: 16129924 KB at 12s
New Peak VSZ: 23738116 KB at 12s
