Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617472,0,7168,50140,0.0,7.00,48.96
1760617473,1,678492,6209868,0.0,662.59,6064.32
1760617473,1,1867936,7514444,1306,1824.16,7338.32
1760617474,2,3196032,9120476,3279,3121.12,8906.71
1760617474,2,5271916,11459424,2648,5148.36,11190.84
1760617475,3,6928428,13179744,3625,6766.04,12870.84
1760617475,3,8367028,14662628,3053,8170.93,14318.97
1760617476,4,9890076,16284776,3914,9658.28,15903.10
1760617477,5,11323424,18609392,3522,11058.03,18173.23
1760617477,5,12034032,18609656,3017,11751.98,18173.49
1760617478,6,12370008,18871800,3048,12080.09,18429.49
1760617478,6,12677672,19265016,2558,12380.54,18813.49
1760617479,7,12987628,20051448,2575,12683.23,19581.49
1760617479,7,13291368,20772344,2218,12979.85,20285.49
1760617480,8,13601412,20837880,2230,13282.63,20349.49
1760617480,8,13919688,20837880,1961,13593.45,20349.49
1760617481,9,14231496,20919800,1751,13897.95,20429.49
1760617482,10,14544072,21165560,1763,14203.20,20669.49
1760617482,10,14856016,21411456,1597,14507.83,20909.62
1760617483,11,15183656,22345344,1607,14827.79,21821.62
1760617483,11,15495672,23164544,1469,15132.49,22621.62
1760617484,12,15814732,23492356,1477,15444.07,22941.75
1760617484,12,16129924,23738116,1362,15751.88,23181.75
1760617485,13,16439000,23738116,1368,16053.71,23181.75
1760617485,13,16754128,23738248,1268,16361.45,23181.88
1760617486,14,17057536,23836552,1182,16657.75,23277.88
1760617487,15,17363880,24033160,1187,16956.91,23469.88
1760617487,15,17667084,24229768,1111,17253.01,23661.88
1760617488,16,17972960,25229192,1116,17551.72,24637.88
1760617488,16,18322156,26113928,1050,17892.73,25501.88
1760617489,17,18630956,26507144,1054,18194.29,25885.88
1760617489,17,18936560,26703752,995,18492.73,26077.88
1760617490,18,19245232,27031432,998,18794.17,26397.88
1760617490,18,19553376,27228172,946,19095.09,26590.01
1760617491,19,19857848,27228172,949,19392.43,26590.01
1760617492,20,20162152,27228172,903,19689.60,26590.01
1760617492,20,20466640,27342992,861,19986.95,26702.14
1760617493,21,20771872,27785360,864,20285.03,27134.14
1760617493,21,21078808,28129424,826,20584.77,27470.14
1760617494,22,21388072,28932240,829,20886.79,28254.14
1760617494,22,21695264,29735056,795,21186.78,29038.14
1760617495,23,22005660,30537872,797,21489.90,29822.14
1760617495,23,22317580,30881936,766,21794.51,30158.14
1760617496,24,22629132,31111444,769,22098.76,30382.27
1760617496,24,22936068,31226132,739,22398.50,30494.27
1760617497,25,23244372,31455508,712,22699.58,30718.27
1760617498,26,23556468,31455508,715,23004.36,30718.27
1760617498,26,23865992,31455508,690,23306.63,30718.27
1760617499,27,24177188,31639828,692,23610.54,30898.27
1760617499,27,24505748,31639828,669,23931.39,30898.27
1760617500,28,24816616,31901972,671,24234.98,31154.27
1760617500,28,25131408,32295324,650,24542.39,31538.40
1760617501,29,25443328,32950684,652,24847.00,32178.40
1760617501,29,25756780,34261404,632,25153.11,33458.40
1760617502,30,26065924,34523548,635,25455.00,33714.40
1760617503,31,26379120,35309980,616,25760.86,34482.40
1760617503,31,26690968,35572124,598,26065.40,34738.40
1760617504,32,26998572,35703328,600,26365.79,34866.53
1760617504,32,27303444,35965472,583,26663.52,35122.53
1760617505,33,27613580,35965472,585,26966.39,35122.53
1760617505,33,27921812,36096544,569,27267.39,35250.53
1760617506,34,28228376,36096544,571,27566.77,35250.53
1760617506,34,28539752,36096544,556,27870.85,35250.53
1760617507,35,28849388,36096544,557,28173.23,35250.53
1760617507,35,29153964,36260520,543,28470.67,35410.66
1760617508,36,29457864,36424528,545,28767.45,35570.83
1760617509,37,29770560,36752208,533,29072.81,35890.83
1760617509,37,30074768,38095696,520,29369.89,37202.83
1760617510,38,30380540,39078736,522,29668.50,38162.83
1760617510,38,30707444,39570256,510,29987.74,38642.83
1760617511,39,31017064,40389456,512,30290.10,39442.83
1760617511,39,31327476,41044816,501,30593.24,40082.83
1760617512,40,31640536,41724752,502,30898.96,40746.83
1760617512,40,31948984,41724752,491,31200.18,40746.83
1760617513,41,32258540,41724752,493,31502.48,40746.83
1760617513,41,32566152,41724752,482,31802.88,40746.83
1760617514,42,32878364,41888592,472,32107.78,40906.83
1760617515,43,33188452,42281808,474,32410.60,41290.83
1760617515,43,33500804,42284632,465,32715.63,41293.59
1760617516,44,33825264,42284632,467,33032.48,41293.59
1760617516,44,34138000,42284632,458,33337.89,41293.59
1760617517,45,34446568,42284632,460,33639.23,41293.59
1760617517,45,34759064,42284632,451,33944.40,41293.59
1760617518,46,35069056,42677848,453,34247.12,41677.59
1760617518,46,35379308,42874456,445,34550.11,41869.59
1760617519,47,35689572,43464420,437,34853.10,42445.72
1760617520,48,35995344,43857636,438,35151.70,42829.72
1760617520,48,36310104,45234028,431,35459.09,44173.86
1760617521,49,36618076,46413808,432,35759.84,45325.98
1760617521,49,36933728,47200240,425,36068.09,46093.98
1760617522,50,37247632,48412656,426,36374.64,47277.98
1760617522,50,37561928,48805872,419,36681.57,47661.98
1760617523,51,37876472,48805872,420,36988.74,47661.98
1760617523,51,38192604,49002480,414,37297.46,47853.98
1760617524,52,38509908,49199088,415,37607.33,48045.98
1760617525,53,38827148,49199088,409,37917.14,48045.98
1760617525,53,39140664,49199088,402,38223.30,48045.98
1760617526,54,39454820,49199088,404,38530.10,48045.98
1760617526,54,39780616,49199088,398,38848.26,48045.98
1760617527,55,40091636,49199088,399,39151.99,48045.98
1760617527,55,40402564,49199088,393,39455.63,48045.98
1760617528,56,40719060,49199088,395,39764.71,48045.98
1760617528,56,41027356,49199088,390,40065.78,48045.98
1760617529,57,41333924,49199088,385,40365.16,48045.98
1760617530,58,41642816,49428464,386,40666.81,48269.98
1760617530,58,41946724,49428464,381,40963.60,48269.98
1760617531,59,42254352,49428464,382,41264.02,48269.98
1760617531,59,42564456,50346100,377,41566.85,49166.11
1760617532,60,42892316,50804852,379,41887.03,49614.11
1760617532,60,43198552,51722492,374,42186.09,50510.25
1760617533,61,43511192,52898208,375,42491.40,51658.41
1760617533,61,43823780,53586336,370,42796.66,52330.41
1760617534,62,44133560,54962592,371,43099.18,53674.41
1760617534,62,44443420,56338848,367,43401.78,55018.41
1760617535,63,44820808,56568224,362,43770.32,55242.41
1760617536,64,45127200,56568224,364,44069.53,55242.41
1760617536,64,45440184,56830368,359,44375.18,55498.41
1760617537,65,45776224,57059744,361,44703.34,55722.41
1760617537,65,46088028,57289120,356,45007.84,55946.41
1760617538,66,46402668,57289120,357,45315.11,55946.41
1760617538,66,46715004,57289120,353,45620.12,55946.41
1760617539,67,47021064,57289120,349,45919.01,55946.41
1760617540,68,47329640,57289120,350,46220.35,55946.41
1760617540,68,47642376,57289120,346,46525.76,55946.41
1760617541,69,47953788,57289120,348,46829.87,55946.41
1760617541,69,48266544,57289120,344,47135.30,55946.41
1760617542,70,48575648,57747872,345,47437.16,56394.41
1760617542,70,48903112,57747872,341,47756.95,56394.41
1760617543,71,49211528,57747872,342,48058.13,56394.41
1760617543,71,49520856,58010016,338,48360.21,56650.41
1760617544,72,49833712,58010148,335,48665.73,56650.54
1760617545,73,50145936,58010148,336,48970.64,56650.54
1760617545,73,50454584,58534568,332,49272.05,57162.66
1760617546,74,50764624,59058856,333,49574.83,57674.66
1760617546,74,51077920,59058856,329,49880.78,57674.66
1760617547,75,51390572,60107564,330,50186.11,58698.79
1760617547,75,51702724,61156140,327,50490.94,59722.79
1760617548,76,52021620,62466860,329,50802.36,61002.79
1760617548,76,52329828,63777580,326,51103.35,62282.79
1760617549,77,52634696,65088300,328,51401.07,63562.79
1760617549,77,52941044,65612588,324,51700.24,64074.79
1760617550,78,53247360,65874732,321,51999.38,64330.79
