========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_RPT
Query File: job_agg/3a.sql
Database File: job_db
Start Time: Thu Oct 16 12:30:35 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 753002
Memory monitoring started at: Thu Oct 16 12:30:35 UTC 2025
Memory CSV file: log/memory_duckdb_RPT_job_agg_3a_20251016_123035_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 7232 KB at 0s
New Peak VSZ: 50140 KB at 0s
New Peak RSS: 976524 KB at 0s
New Peak VSZ: 6531012 KB at 0s
New Peak CPU: 860% at 0s
New Peak RSS: 3111396 KB at 1s
New Peak VSZ: 8890664 KB at 1s
New Peak CPU: 1298% at 1s
New Peak RSS: 5801952 KB at 2s
New Peak VSZ: 11713156 KB at 2s
New Peak CPU: 2352% at 2s
New Peak RSS: 7793944 KB at 2s
New Peak VSZ: 14162696 KB at 2s
New Peak RSS: 8738168 KB at 3s
New Peak VSZ: 15033228 KB at 3s
New Peak CPU: 2959% at 3s
New Peak RSS: 9661552 KB at 3s
New Peak VSZ: 16409616 KB at 3s
New Peak RSS: 9986396 KB at 4s
New Peak VSZ: 16466960 KB at 4s
New Peak RSS: 10326408 KB at 4s
New Peak VSZ: 16638992 KB at 4s
New Peak RSS: 10648208 KB at 5s
New Peak VSZ: 17327280 KB at 5s
New Peak RSS: 10967960 KB at 6s
New Peak VSZ: 17743024 KB at 6s
New Peak RSS: 11290444 KB at 6s
New Peak VSZ: 18316596 KB at 6s
New Peak RSS: 11615124 KB at 7s
New Peak VSZ: 18431416 KB at 7s
New Peak RSS: 11936832 KB at 7s
New Peak VSZ: 18496952 KB at 7s
New Peak RSS: 12261584 KB at 8s
New Peak VSZ: 18685368 KB at 8s
New Peak RSS: 12589976 KB at 8s
New Peak VSZ: 19275192 KB at 8s
New Peak RSS: 12913348 KB at 9s
New Peak VSZ: 19799480 KB at 9s
New Peak RSS: 13256484 KB at 9s
New Peak VSZ: 20520376 KB at 9s
