Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617835,0,7232,50140,0.0,7.06,48.96
1760617835,0,976524,6531012,860,953.64,6377.94
1760617836,1,3111396,8890664,1298,3038.47,8682.29
1760617837,2,5801952,11713156,2352,5665.97,11438.63
1760617837,2,7793944,14162696,2185,7611.27,13830.76
1760617838,3,8738168,15033228,2959,8533.37,14680.89
1760617838,3,9661552,16409616,2555,9435.11,16025.02
1760617839,4,9986396,16466960,2597,9752.34,16081.02
1760617839,4,10326408,16638992,2105,10084.38,16249.02
1760617840,5,10648208,17327280,2128,10398.64,16921.17
1760617841,6,10967960,17743024,1786,10710.90,17327.17
1760617841,6,11290444,18316596,1543,11025.82,17887.30
1760617842,7,11615124,18431416,1556,11342.89,17999.43
1760617842,7,11936832,18496952,1371,11657.06,18063.43
1760617843,8,12261584,18685368,1383,11974.20,18247.43
1760617843,8,12589976,19275192,1241,12294.90,18823.43
1760617844,9,12913348,19799480,1253,12610.69,19335.43
1760617844,9,13256484,20520376,1138,12945.79,20039.43
1760617845,10,13581240,20782520,1043,13262.93,20295.43
1760617846,11,13903956,20782520,1052,13578.08,20295.43
1760617846,11,14224176,20929976,971,13890.80,20439.43
1760617847,12,14545480,21011896,977,14204.57,20519.43
1760617847,12,14865708,21585336,907,14517.29,21079.43
1760617848,13,15184168,22486456,914,14828.29,21959.43
1760617848,13,15499480,22977976,853,15136.21,22439.43
1760617849,14,15815632,23469496,860,15444.95,22919.43
1760617850,15,16149500,23633492,806,15771.00,23079.58
1760617850,15,16466116,23813848,761,16080.19,23255.71
1760617851,16,16782436,23912152,765,16389.10,23351.71
1760617851,16,17102604,23912152,724,16701.76,23351.71
1760617852,17,17415224,23912152,728,17007.05,23351.71
1760617852,17,17729928,24796888,692,17314.38,24215.71
1760617853,18,18037412,25583320,695,17614.66,24983.71
1760617853,18,18353288,25976536,662,17923.13,25367.71
1760617854,19,18665592,26762968,666,18228.12,26135.71
1760617854,19,18984640,26959576,636,18539.69,26327.71
1760617855,20,19294640,27156316,609,18842.42,26519.84
1760617856,21,19612484,27353056,612,19152.82,26711.97
1760617856,21,19931328,27353056,587,19464.19,26711.97
1760617857,22,20244704,27353056,590,19770.22,26711.97
1760617857,22,20561308,27467744,567,20079.40,26823.97
1760617858,23,20879832,27582432,570,20390.46,26935.97
1760617858,23,21196104,28155872,549,20699.32,27495.97
1760617859,24,21510624,29073376,551,21006.47,28391.97
1760617859,24,21828144,29876192,532,21316.55,29175.97
1760617860,25,22142480,30449632,534,21623.52,29735.97
1760617861,26,22478880,30908384,517,21952.03,30183.97
1760617861,26,22798508,31158240,500,22264.17,30427.97
1760617862,27,23115192,31502304,502,22573.43,30763.97
