Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618764,0,29184,64972,0.0,28.50,63.45
1760618765,1,1050332,6870940,3226,1025.71,6709.90
1760618766,2,1063284,6870940,9319,1038.36,6709.90
1760618767,3,1065120,6870940,7549,1040.16,6709.90
1760618768,4,1065800,6870940,7062,1040.82,6709.90
1760618769,5,1065368,6870940,6762,1040.40,6709.90
1760618769,5,1065732,6870940,6525,1040.75,6709.90
1760618770,6,1065216,6870940,7703,1040.25,6709.90
1760618771,7,1065064,6870940,7387,1040.10,6709.90
1760618772,8,1065276,6870940,7161,1040.31,6709.90
1760618773,9,1065020,6870940,6976,1040.06,6709.90
1760618773,9,1065224,6870940,6824,1040.26,6709.90
1760618774,10,1065336,6870940,6730,1040.37,6709.90
1760618775,11,1065868,6870940,7296,1040.89,6709.90
1760618776,12,1065544,6870940,7163,1040.57,6709.90
1760618777,13,1065476,6870940,7057,1040.50,6709.90
1760618777,13,1066084,6870940,6959,1041.10,6709.90
1760618778,14,1065840,6870940,6878,1040.86,6709.90
1760618779,15,1066860,6870940,7284,1041.86,6709.90
1760618780,16,1065796,6870940,7187,1040.82,6709.90
1760618780,16,1065340,6870940,7100,1040.37,6709.90
1760618781,17,1063496,6870940,6907,1038.57,6709.90
1760618782,18,1061820,6870940,7121,1036.93,6709.90
1760618782,18,1060848,6870940,6908,1035.98,6709.90
1760618783,19,1056080,6870940,7072,1031.33,6709.90
1760618783,19,1055956,6870940,6854,1031.21,6709.90
1760618784,20,1055520,6870940,7003,1030.78,6709.90
1760618784,20,1055348,6870940,6791,1030.61,6709.90
1760618785,21,1054804,6870940,6926,1030.08,6709.90
1760618785,21,1052892,6870940,6720,1028.21,6709.90
1760618786,22,1054256,6870940,6842,1029.55,6709.90
1760618786,22,1052380,6870940,6641,1027.71,6709.90
1760618787,23,1051124,6870940,6742,1026.49,6709.90
1760618788,24,1049348,6870940,6540,1024.75,6709.90
1760618788,24,1048008,6870940,6353,1023.45,6709.90
1760618789,25,1047952,6870940,6435,1023.39,6709.90
1760618789,25,1046664,6870940,6255,1022.13,6709.90
1760618790,26,1046628,6870940,6332,1022.10,6709.90
1760618790,26,1045756,6870940,6157,1021.25,6709.90
1760618791,27,1044800,6870940,6221,1020.31,6709.90
1760618791,27,1041392,6870940,6042,1016.98,6709.90
1760618792,28,1038864,6870940,6082,1014.52,6709.90
1760618792,28,1033496,6870940,5890,1009.27,6709.90
1760618793,29,1030508,6870940,5907,1006.36,6709.90
1760618794,30,184028,6322348,5709,179.71,6174.17
