Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617340,0,23556,270676,0.0,23.00,264.33
1760617341,1,1520884,7095856,0.0,1485.24,6929.55
1760617341,1,3589212,9502540,3388,3505.09,9279.82
1760617342,2,5666040,11517908,5484,5533.24,11247.96
1760617342,2,7235736,13128036,3649,7066.15,12820.35
1760617343,3,8872272,15413736,4503,8664.33,15052.48
1760617343,3,10743216,17878776,3668,10491.42,17459.74
1760617344,4,11598524,19164920,4054,11326.68,18715.74
1760617345,5,8832432,19820280,3248,8625.42,19355.74
1760617345,5,4983088,19270480,2613,4866.30,18818.83
1760617346,6,0,0,2624,0.00,0.00
