Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618367,0,7148,50360,0.0,6.98,49.18
1760618367,0,522416,6112036,127,510.17,5968.79
1760618368,1,868104,6449372,196,847.76,6298.21
1760618368,1,1302288,7122172,127,1271.77,6955.25
1760618369,2,1604392,8642052,169,1566.79,8439.50
1760618370,3,7562912,16861852,1025,7385.66,16466.65
1760618370,3,18946116,31076352,1642,18502.07,30348.00
1760618371,4,31354444,45994172,2591,30619.57,44916.18
1760618371,4,44382488,63198528,2853,43342.27,61717.31
1760618372,5,58083580,79576636,3661,56722.25,77711.56
1760618373,6,65551028,89841212,3492,64014.68,87735.56
1760618374,7,66058360,90299964,3042,64510.12,88183.56
1760618376,9,66072032,90299964,2402,64523.47,88183.56
1760618378,11,65910336,90758716,1998,64365.56,88631.56
1760618379,12,65863652,90758716,1841,64319.97,88631.56
1760618380,13,65794200,90758716,1711,64252.15,88631.56
1760618382,15,65704000,90758716,1496,64164.06,88631.56
1760618383,16,65622800,91151932,1426,64084.77,89015.56
1760618384,17,65598888,91610684,1354,64061.41,89463.56
1760618385,18,65562216,91617856,1289,64025.60,89470.56
1760618385,18,65544572,91614268,1230,64008.37,89467.06
1760618387,20,65507232,91614268,1179,63971.91,89467.06
1760618388,21,65458584,92073020,1134,63924.40,89915.06
1760618389,22,65454288,92080192,1050,63920.20,89922.06
1760618391,24,65476372,92076604,1060,63941.77,89918.56
1760618392,25,65541676,92935744,991,64005.54,90757.56
1760618393,26,65588868,93853244,963,64051.63,91653.56
1760618394,27,65617468,94726728,938,64079.56,92506.57
1760618395,28,65681276,95119936,917,64141.87,92890.56
1760618395,28,65701932,96372288,894,64162.04,94113.56
1760618396,29,65711304,96368700,899,64171.20,94110.06
1760618397,30,65726056,97569864,877,64185.60,95283.07
1760618397,30,65756852,97955904,855,64215.68,95660.06
1760618398,31,65753592,97970244,837,64212.49,95674.07
1760618399,32,65756540,97977412,818,64215.37,95681.07
1760618401,34,65740484,97977408,805,64199.69,95681.06
1760618402,35,65737672,97988164,788,64196.95,95691.57
1760618402,35,65728536,98384964,772,64188.02,96079.07
1760618404,37,65717136,98409292,777,64176.89,96102.82
1760618405,38,65717524,98409280,748,64177.27,96102.81
1760618407,40,65719056,98864444,734,64178.77,96547.31
1760618409,42,65687912,99323196,712,64148.35,96995.31
1760618410,43,65687808,100706624,676,64148.25,98346.31
1760618411,44,65691444,101214524,667,64151.80,98842.31
1760618413,46,65699412,102918460,662,64159.58,100506.31
1760618414,47,65699384,104294716,653,64159.55,101850.31
1760618415,48,65699120,104760640,645,64159.30,102305.31
1760618416,49,65708992,104764224,635,64168.94,102308.81
1760618417,50,65702480,105219388,627,64162.58,102753.31
1760618419,52,65707012,106144064,622,64167.00,103656.31
1760618420,53,65697244,106140476,606,64157.46,103652.81
1760618421,54,65699308,106154820,600,64159.48,103666.82
1760618423,56,65700184,106147644,584,64160.34,103659.81
1760618425,58,65688996,106147644,579,64149.41,103659.81
1760618426,59,65667916,106606396,566,64128.82,104107.81
1760618428,61,65626640,106606396,562,64088.52,104107.81
1760618429,62,65621712,107654972,538,64083.70,105131.81
1760618432,65,65608712,109096764,533,64071.01,106539.81
1760618433,66,65590712,109103936,523,64053.43,106546.81
1760618435,68,65578896,110556484,519,64041.89,107965.32
1760618435,68,65596576,112395072,508,64059.16,109760.81
1760618437,70,65618224,112391484,510,64080.30,109757.31
1760618438,71,65628504,112868164,500,64090.34,110222.82
1760618438,71,65625600,112875332,495,64087.50,110229.82
1760618439,72,65640460,112900432,498,64102.01,110254.33
1760618440,73,65659084,113352004,493,64120.20,110695.32
1760618441,74,65651728,114924864,489,64113.02,112231.31
1760618442,75,65672304,114928448,486,64133.11,112234.81
1760618442,75,65671900,114935616,482,64132.71,112241.81
1760618443,76,65669400,114946372,477,64130.27,112252.32
1760618444,77,65666408,115481416,479,64127.35,112774.82
1760618445,78,65678000,116009280,478,64138.67,113290.31
1760618447,80,65693932,116009276,474,64154.23,113290.31
1760618448,81,65679440,116020032,467,64140.08,113300.81
1760618450,83,65657196,116544316,460,64118.36,113812.81
1760618451,84,65652940,118641468,458,64114.20,115860.81
1760618453,86,65658428,120217916,451,64119.56,117400.31
1760618454,87,65661504,121273664,449,64122.56,118431.31
1760618455,88,65659992,121794364,445,64121.09,118939.81
1760618458,91,65638056,121794364,439,64099.66,118939.81
1760618459,92,65596896,122318652,434,64059.47,119451.81
1760618460,93,65600912,122322236,431,64063.39,119455.31
1760618461,94,65593176,122322236,425,64055.84,119455.31
1760618463,96,65572424,123370812,423,64035.57,120479.31
1760618466,99,65537332,123370812,414,64001.30,120479.31
1760618467,100,65550656,123902272,413,64014.31,120998.31
1760618468,101,65556620,123902272,410,64020.14,120998.31
1760618470,103,65563192,124422972,408,64026.55,121506.81
1760618472,105,65565716,125663548,404,64029.02,122718.31
1760618474,107,65554172,125663548,396,64017.75,122718.31
1760618475,108,65573236,126187836,392,64036.36,123230.31
1760618476,109,65581700,127498556,393,64044.63,124510.31
1760618477,110,65589336,127498556,388,64052.09,124510.31
1760618479,112,65581428,128022844,389,64044.36,125022.31
1760618481,114,65565204,128940348,385,64028.52,125918.31
1760618482,115,65567112,129595708,381,64030.38,126558.31
1760618483,116,65574360,130119996,379,64037.46,127070.31
1760618484,117,65583956,130775356,378,64046.83,127710.31
1760618487,120,65581220,134707516,374,64044.16,131550.31
1760618489,122,65587544,135231804,368,64050.34,132062.31
1760618490,123,65577844,135231804,366,64040.86,132062.31
1760618491,124,65592532,137197884,366,64055.21,133982.31
1760618493,126,65588528,137197884,362,64051.30,133982.31
1760618495,128,65582620,137853244,360,64045.53,134622.31
1760618496,129,65566840,137853244,356,64030.12,134622.31
1760618498,131,65552848,139163964,355,64016.45,135902.31
1760618499,132,65568772,140474684,354,64032.00,137182.31
1760618500,133,65572420,141130044,353,64035.57,137822.31
1760618501,134,65577276,141785404,352,64040.31,138462.31
1760618501,134,65583356,141785404,350,64046.25,138462.31
1760618502,135,65588808,142440764,349,64051.57,139102.31
1760618503,136,65585032,142440764,347,64047.88,139102.31
1760618505,138,65595436,143096124,346,64058.04,139742.31
1760618506,139,65604268,143096124,346,64066.67,139742.31
1760618507,140,65597236,144406844,343,64059.80,141022.31
1760618509,142,65590496,145848636,342,64053.22,142430.31
1760618510,143,65591436,146503996,340,64054.14,143070.31
1760618511,144,65587632,147290428,339,64050.42,143838.31
1760618512,145,65595380,147290428,338,64057.99,143838.31
1760618513,146,65598676,147290428,337,64061.21,143838.31
1760618513,146,65600488,147290428,336,64062.98,143838.31
1760618515,148,65600172,147290428,335,64062.67,143838.31
1760618516,149,65606844,147290428,334,64069.18,143838.31
1760618517,150,65614060,148732220,334,64076.23,145246.31
1760618518,151,65611636,148732220,332,64073.86,145246.31
1760618519,152,65608092,149518652,331,64070.40,146014.31
1760618519,152,65599452,150305084,330,64061.96,146782.31
1760618520,153,65600032,151091516,331,64062.53,147550.31
1760618521,154,65601948,151091516,330,64064.40,147550.31
1760618521,154,65605864,151091516,328,64068.23,147550.31
1760618522,155,65612728,151877948,327,64074.93,148318.31
1760618523,156,65586136,151863604,328,64048.96,148304.30
1760618523,156,63107484,151791884,326,61628.40,148234.26
1760618524,157,62257832,151727336,326,60798.66,148171.23
1760618524,157,61417560,151655616,325,59978.09,148101.19
1760618525,158,59417784,151605412,325,58025.18,148052.16
1760618525,158,55549580,151576724,323,54247.64,148024.14
1760618526,159,51860636,151540864,321,50645.15,147989.12
