Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617591,0,7160,50360,0.0,6.99,49.18
1760617591,0,289304,5759912,108,282.52,5624.91
1760617592,1,625116,6148520,263,610.46,6004.41
1760617592,1,949280,6511016,191,927.03,6358.41
1760617593,2,1267984,6860200,246,1238.27,6699.41
1760617593,2,1577364,7256488,190,1540.39,7086.41
1760617594,3,1900124,7578156,218,1855.59,7400.54
1760617594,3,2213780,7940652,184,2161.89,7754.54
1760617595,4,2523528,8227372,202,2464.38,8034.54
1760617596,5,2846320,8647212,177,2779.61,8444.54
1760617596,5,3170060,8852012,161,3095.76,8644.54
1760617597,6,3479968,9398828,175,3398.41,9178.54
1760617597,6,3798240,9587244,162,3709.22,9362.54
1760617598,7,4120332,10107436,172,4023.76,9870.54
1760617598,7,4435304,10353196,159,4331.35,10110.54
1760617599,8,4747528,10578476,166,4636.26,10330.54
1760617599,8,5069948,11151916,155,4951.12,10890.54
1760617600,9,5384024,11377196,162,5257.84,11110.54
1760617600,9,5704768,11553324,152,5571.06,11282.54
1760617601,10,6020204,12200492,144,5879.11,11914.54
1760617602,11,6342312,12474924,151,6193.66,12182.54
1760617602,11,6728984,12679724,145,6571.27,12382.54
1760617603,12,7055300,13384236,151,6889.94,13070.54
1760617603,12,7370696,13670956,144,7197.95,13350.54
1760617604,13,7698148,14039596,149,7517.72,13710.54
1760617604,13,8025096,14121792,144,7837.01,13790.81
1760617605,14,8338428,14637888,139,8143.00,14294.81
1760617606,15,8660424,15129408,143,8457.45,14774.81
1760617606,15,8990712,15473472,139,8779.99,15110.81
1760617607,16,9316904,15817536,143,9098.54,15446.81
1760617607,16,9674628,15964992,139,9447.88,15590.81
1760617608,17,9999604,16186176,143,9765.24,15806.81
1760617608,17,10313972,16931648,139,10072.24,16534.81
1760617609,18,10635988,17390400,135,10386.71,16982.81
1760617610,19,10958248,17619776,139,10701.41,17206.81
1760617610,19,11271192,17863488,135,11007.02,17444.81
1760617611,20,11590940,17978176,139,11319.28,17556.81
1760617611,20,11905524,18223936,136,11626.49,17796.81
1760617612,21,12227760,18813760,139,11941.17,18372.81
1760617612,21,12556312,19534656,136,12262.02,19076.81
1760617613,22,12881448,19862336,139,12579.54,19396.81
1760617613,22,13178804,20058944,135,12869.93,19588.81
1760617614,23,13502944,20190016,132,13186.47,19716.81
