========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_YanPlus
Query File: job_agg/3a.sql
Database File: job_db
Start Time: Thu Oct 16 12:32:31 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 758139
Memory monitoring started at: Thu Oct 16 12:32:31 UTC 2025
Memory CSV file: log/memory_duckdb_YanPlus_job_agg_3a_20251016_123231_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 17340 KB at 0s
New Peak VSZ: 53292 KB at 0s
New Peak RSS: 604460 KB at 0s
New Peak VSZ: 6610036 KB at 0s
New Peak CPU: 667% at 0s
New Peak RSS: 2140576 KB at 1s
New Peak VSZ: 7974004 KB at 1s
New Peak CPU: 2278% at 1s
New Peak RSS: 6171044 KB at 1s
New Peak VSZ: 12821756 KB at 1s
New Peak CPU: 2421% at 1s
New Peak RSS: 6511336 KB at 2s
New Peak VSZ: 13255932 KB at 2s
New Peak CPU: 2527% at 2s
New Peak RSS: 6845020 KB at 3s
New Peak VSZ: 13747452 KB at 3s
New Peak RSS: 7163032 KB at 3s
New Peak VSZ: 14198012 KB at 3s
New Peak RSS: 7476868 KB at 4s
New Peak VSZ: 14329220 KB at 4s
New Peak RSS: 7795932 KB at 4s
New Peak VSZ: 14624264 KB at 4s
New Peak RSS: 8111644 KB at 5s
New Peak VSZ: 15017480 KB at 5s
New Peak RSS: 8425448 KB at 5s
New Peak VSZ: 15787528 KB at 5s
New Peak RSS: 8747188 KB at 6s
New Peak VSZ: 16033288 KB at 6s
New Peak RSS: 9071768 KB at 6s
New Peak VSZ: 16082440 KB at 6s
New Peak RSS: 9381804 KB at 7s
New Peak VSZ: 16254472 KB at 7s
New Peak RSS: 9719816 KB at 8s
New Peak VSZ: 16713224 KB at 8s
New Peak RSS: 10036668 KB at 8s
New Peak VSZ: 17415688 KB at 8s
New Peak RSS: 10355188 KB at 9s
New Peak VSZ: 17989128 KB at 9s
New Peak RSS: 10662948 KB at 9s
New Peak VSZ: 18103816 KB at 9s
New Peak RSS: 10980212 KB at 10s
New Peak RSS: 11291504 KB at 10s
