Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617951,0,17340,53292,0.0,16.93,52.04
1760617951,0,604460,6610036,667,590.29,6455.11
1760617952,1,2140576,7974004,2278,2090.41,7787.11
1760617952,1,6171044,12821756,2421,6026.41,12521.25
1760617953,2,6511336,13255932,2527,6358.73,12945.25
1760617954,3,6845020,13747452,1738,6684.59,13425.25
1760617954,3,7163032,14198012,1334,6995.15,13865.25
1760617955,4,7476868,14329220,1360,7301.63,13993.38
1760617955,4,7795932,14624264,1108,7613.21,14281.51
1760617956,5,8111644,15017480,1128,7921.53,14665.51
1760617956,5,8425448,15787528,957,8227.98,15417.51
1760617957,6,8747188,16033288,975,8542.18,15657.51
1760617957,6,9071768,16082440,855,8859.15,15705.51
1760617958,7,9381804,16254472,762,9161.92,15873.51
1760617959,8,9719816,16713224,778,9492.01,16321.51
1760617959,8,10036668,17415688,702,9801.43,17007.51
1760617960,9,10355188,17989128,711,10112.49,17567.51
1760617960,9,10662948,18103816,647,10413.04,17679.51
1760617961,10,10980212,18103816,655,10722.86,17679.51
1760617961,10,11291504,18234888,602,11026.86,17807.51
1760617962,11,11604928,18529800,610,11332.94,18095.51
1760617962,11,11916340,19119624,566,11637.05,18671.51
1760617963,12,12223508,19971592,574,11937.02,19503.51
1760617963,12,12525948,20430344,535,12232.37,19951.51
1760617964,13,12833456,20495880,502,12532.67,20015.51
1760617965,14,13142056,20495880,508,12834.04,20015.51
1760617965,14,13459348,20577800,479,13143.89,20095.51
1760617966,15,13766628,20823560,485,13443.97,20335.51
1760617966,15,14079928,21151240,460,13749.93,20655.51
1760617967,16,14388972,21806736,465,14051.73,21295.64
1760617967,16,14695284,22871696,442,14350.86,22335.64
1760617968,17,15010160,23395984,447,14658.36,22847.64
1760617968,17,15330172,23477904,426,14970.87,22927.64
1760617969,18,15645164,23477904,430,15278.48,22927.64
1760617970,19,15972160,23477904,411,15597.81,22927.64
1760617970,19,16287256,23477904,394,15905.52,22927.64
1760617971,20,16598864,23592592,398,16209.83,23039.64
1760617971,20,16917628,24084112,382,16521.12,23519.64
1760617972,21,17228728,24575764,386,16824.93,23999.77
1760617972,21,17545688,25755412,371,17134.46,25151.77
1760617973,22,17831132,26640148,375,17413.21,26015.77
1760617973,22,18144772,26935060,362,17719.50,26303.77
1760617974,23,18460624,26935216,365,18027.95,26303.92
1760617975,24,18791932,26935216,353,18351.50,26303.92
1760617975,24,19104068,26935216,342,18656.32,26303.92
1760617976,25,19417956,26935216,345,18962.85,26303.92
1760617976,25,19731324,26935216,334,19268.87,26303.92
1760617977,26,20047768,27410352,338,19577.90,26767.92
1760617977,26,20361856,27754416,328,19884.62,27103.92
1760617978,27,20671260,28442544,332,20186.78,27775.92
1760617978,27,20987052,29474736,322,20495.17,28783.92
1760617979,28,21300460,29933488,325,20801.23,29231.92
1760617979,28,21615700,30621616,317,21109.08,29903.92
1760617980,29,21926916,30986160,309,21413.00,30259.92
1760617981,30,22241504,31100848,311,21720.22,30371.92
1760617981,30,22552376,31100980,304,22023.80,30372.05
1760617982,31,22867856,31100980,306,22331.89,30372.05
1760617982,31,23178904,31100980,299,22635.65,30372.05
1760617983,32,23495472,31100980,302,22944.80,30372.05
1760617983,32,23808604,31100980,295,23250.59,30372.05
1760617984,33,24124924,31363124,298,23559.50,30628.05
1760617984,33,24435376,32051252,291,23862.67,31300.05
1760617985,34,24749828,33099828,285,24169.75,32324.05
1760617986,35,25089440,33624248,288,24501.41,32836.18
1760617986,35,25404324,34410680,283,24808.91,33604.18
1760617987,36,25722504,35328184,285,25119.63,34500.18
1760617987,36,26039620,35721400,279,25429.32,34884.18
1760617988,37,26353060,35721400,282,25735.41,34884.18
1760617988,37,26668172,35721400,276,26043.14,34884.18
1760617989,38,26987376,35852608,279,26354.86,35012.31
1760617989,38,27300716,35852608,274,26660.86,35012.31
1760617990,39,27617484,35852608,269,26970.20,35012.31
1760617991,40,27945640,35852608,271,27290.66,35012.31
1760617991,40,28258084,35852608,266,27595.79,35012.31
1760617992,41,28574288,36016448,268,27904.58,35172.31
1760617992,41,28892180,36344128,263,28215.02,35492.31
1760617993,42,29205844,37327168,265,28521.33,36452.31
1760617993,42,29520172,37818688,260,28828.29,36932.31
1760617994,43,29833360,39129408,262,29134.14,38212.31
1760617994,43,30152464,40112580,258,29445.77,39172.44
1760617995,44,30473548,40628808,254,29759.32,39676.57
1760617996,45,30810080,41120328,256,30087.97,40156.57
1760617996,45,31139108,41647440,252,30409.29,40671.33
1760617997,46,31455492,41647440,254,30718.25,40671.33
1760617997,46,31790100,41647440,251,31045.02,40671.33
1760617998,47,32103572,41811280,252,31351.14,40831.33
1760617998,47,32434460,41811280,249,31674.28,40831.33
1760617999,48,32758164,41811280,251,31990.39,40831.33
1760618000,49,33091116,41811280,247,32315.54,40831.33
1760618000,49,33409740,41811280,244,32626.70,40831.33
1760618001,50,33751564,42007888,246,32960.51,41023.33
1760618001,50,34087420,42007888,243,33288.50,41023.33
1760618002,51,34399428,42597712,245,33593.19,41599.33
1760618002,51,34717660,42794320,242,33903.96,41791.33
1760618003,52,35033868,44170576,244,34212.76,43135.33
1760618003,52,35355240,45546832,241,34526.60,44479.33
1760618004,53,35677764,46136656,238,34841.57,45055.33
1760618005,54,36006472,47119696,239,35162.57,46015.33
1760618005,54,36321784,47316304,237,35470.49,46207.33
1760618006,55,36673420,48102736,239,35813.89,46975.33
1760618006,55,36991784,48496100,236,36124.79,47359.47
1760618007,56,37318380,48692708,237,36443.73,47551.47
1760618007,56,37637952,48692708,235,36755.81,47551.47
1760618008,57,37964004,48692708,236,37074.22,47551.47
1760618009,58,38280500,48692708,233,37383.30,47551.47
1760618009,58,38603324,48692708,231,37698.56,47551.47
1760618010,59,38923052,48922084,232,38010.79,47775.47
1760618010,59,39247028,48922216,230,38327.18,47775.60
1760618011,60,39581512,48922348,231,38653.82,47775.73
1760618011,60,39906356,48922348,229,38971.05,47775.73
1760618012,61,40226904,48922348,230,39284.09,47775.73
1760618012,61,40548924,49151724,228,39598.56,47999.73
1760618013,62,40880084,49381100,226,39921.96,48223.73
1760618014,63,41198348,49610476,227,40232.76,48447.73
1760618014,63,41520048,50069228,225,40546.92,48895.73
1760618015,64,41837096,50986732,226,40856.54,49791.73
1760618015,64,42157224,52621036,224,41169.16,51387.73
1760618016,65,42492832,53538540,225,41496.91,52283.73
1760618016,65,42815284,54226668,223,41811.80,52955.73
1760618017,66,43243392,55603320,221,42229.88,54300.12
1760618018,67,43563580,56062072,223,42542.56,54748.12
1760618018,67,43881076,56520824,220,42852.61,55196.12
1760618019,68,44190096,56750332,222,43154.39,55420.25
1760618019,68,44512032,56979708,220,43468.78,55644.25
1760618020,69,44829036,56979708,221,43778.36,55644.25
1760618020,69,45146620,56979708,219,44088.50,55644.25
1760618021,70,45472892,56979708,217,44407.12,55644.25
1760618022,71,45793576,56979708,218,44720.29,55644.25
1760618022,71,46111788,56979708,216,45031.04,55644.25
1760618023,72,46428780,56979708,217,45340.61,55644.25
1760618023,72,46745292,57241984,215,45649.70,55900.38
1760618024,73,47062432,57241984,216,45959.41,55900.38
1760618024,73,47383744,57241984,214,46273.19,55900.38
1760618025,74,47703572,57241984,216,46585.52,55900.38
1760618026,75,48021416,57241984,214,46895.91,55900.38
1760618026,75,48348452,57241984,212,47215.29,55900.38
1760618027,76,48666712,57241984,214,47526.09,55900.38
1760618027,76,48978908,57766404,212,47830.96,56412.50
1760618028,77,49301176,57766404,213,48145.68,56412.50
1760618028,77,49613136,58552836,211,48450.33,57180.50
1760618029,78,49932184,59077124,213,48761.90,57692.50
1760618029,78,50254884,60125700,211,49077.04,58716.50
1760618030,79,50587528,61698564,212,49401.88,60252.50
1760618031,80,50913812,63009284,210,49720.52,61532.50
1760618031,80,51248060,64582148,209,50046.93,63068.50
1760618032,81,51568416,64844424,210,50359.78,63324.63
1760618032,81,51891632,65368712,208,50675.42,63836.63
1760618033,82,52210976,66187912,209,50987.28,64636.63
1760618033,82,52533008,66187912,208,51301.77,64636.63
1760618034,83,52854476,66450056,209,51615.70,64892.63
1760618034,83,53173376,66450056,208,51927.12,64892.63
1760618035,84,53490152,66450056,206,52236.48,64892.63
1760618036,85,53799388,66450056,207,52538.46,64892.63
1760618036,85,53975044,66450056,206,52710.00,64892.63
1760618037,86,53981864,66450320,207,52716.66,64892.89
1760618037,86,53987348,66450320,205,52722.02,64892.89
1760618038,87,53989224,66450320,206,52723.85,64892.89
1760618038,87,53998396,66450320,204,52732.81,64892.89
1760618039,88,54010548,66450320,205,52744.68,64892.89
1760618039,88,54011416,66450320,204,52745.52,64892.89
1760618040,89,54014176,66450320,204,52748.22,64892.89
1760618040,89,54020376,66450320,203,52754.27,64892.89
1760618041,90,54029064,66450320,202,52762.76,64892.89
1760618042,91,54029732,66450320,203,52763.41,64892.89
1760618042,91,54035000,66450320,201,52768.55,64892.89
1760618043,92,54036192,66450320,202,52769.72,64892.89
1760618043,92,54046460,66450320,201,52779.75,64892.89
1760618044,93,54050208,66450320,202,52783.41,64892.89
1760618044,93,54055832,66450320,200,52788.90,64892.89
1760618045,94,54058316,66450320,201,52791.32,64892.89
1760618045,94,54062064,66450320,200,52794.98,64892.89
1760618046,95,54067436,66450320,198,52800.23,64892.89
1760618047,96,54071176,66450320,199,52803.88,64892.89
1760618047,96,54075408,66450320,198,52808.02,64892.89
1760618048,97,54078984,66450320,199,52811.51,64892.89
1760618048,97,54085740,66450320,198,52818.11,64892.89
1760618049,98,54089376,66450452,197,52821.66,64893.02
1760618050,99,54093024,66450584,198,52825.22,64893.15
1760618050,99,54093376,66450584,196,52825.56,64893.15
1760618051,100,54097696,66450584,197,52829.78,64893.15
1760618051,100,54103156,66450716,196,52835.11,64893.28
1760618052,101,54106876,66450716,197,52838.75,64893.28
1760618052,101,54114260,66450716,196,52845.96,64893.28
1760618053,102,54115096,66450716,197,52846.77,64893.28
1760618053,102,54119920,66450716,196,52851.48,64893.28
1760618054,103,54122636,66450716,195,52854.14,64893.28
1760618055,104,54141116,66450716,195,52872.18,64893.28
1760618055,104,54144916,66450716,194,52875.89,64893.28
1760618056,105,54153756,66450716,194,52884.53,64893.28
1760618056,105,54176952,66450716,193,52907.18,64893.28
1760618057,106,54388972,66451796,196,53114.23,64894.33
1760618057,106,52945640,65902364,199,51704.73,64357.78
1760618058,107,52362076,65902364,199,51134.84,64357.78
1760618058,107,50473020,65902364,198,49290.06,64357.78
1760618059,108,47112352,65902364,197,46008.16,64357.78
1760618060,109,42956500,65902364,197,41949.71,64357.78
1760618060,109,38810052,65902364,196,37900.44,64357.78
1760618061,110,34550732,65903712,196,33740.95,64359.09
1760618061,110,27229304,65897784,195,26591.12,64353.30
1760618062,111,17719376,65897784,196,17304.08,64353.30
1760618062,111,8592020,65897784,194,8390.64,64353.30
1760618063,112,433272,65892896,195,423.12,64348.53
