Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617346,0,23360,65868,0.0,22.81,64.32
1760617347,1,1368576,7184168,0.0,1336.50,7015.79
1760617347,1,3075812,9439280,3161,3003.72,9218.05
1760617348,2,4469964,10824256,2378,4365.20,10570.56
1760617349,3,6082136,13404872,3284,5939.59,13090.70
1760617349,3,8154388,15731544,2932,7963.27,15362.84
1760617350,4,9023204,16027248,3367,8811.72,15651.61
1760617350,4,9998192,16256688,2772,9763.86,15875.67
1760617351,5,10536892,16879800,3438,10289.93,16484.18
1760617351,5,8292144,17582264,2823,8097.80,17170.18
1760617352,6,4785396,17031816,2366,4673.24,16632.63
1760617353,7,155536,17031816,2375,151.89,16632.63
