Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618064,1,20952,65320,0.0,20.46,63.79
1760618064,1,1923112,4476116,241,1878.04,4371.21
1760618065,2,4301604,11109716,523,4200.79,10849.33
1760618065,2,6753688,14153812,374,6595.40,13822.08
1760618066,3,9277708,17312340,484,9060.26,16906.58
1760618066,3,11949700,20362836,396,11669.63,19885.58
1760618067,4,14729952,24573524,470,14384.72,23997.58
1760618067,4,17484424,27981396,408,17074.63,27325.58
1760618068,5,20299496,30933588,370,19823.73,30208.58
1760618069,6,23156924,34099796,414,22614.18,33300.58
1760618069,6,26002592,39342676,382,25393.16,38420.58
1760618070,7,28861676,40915540,419,28185.23,39956.58
1760618070,7,31726360,45658708,391,30982.77,44588.58
1760618071,8,34597544,47551064,422,33786.66,46436.59
1760618071,8,37379732,53164628,397,36503.64,51918.58
1760618072,9,40245584,53164628,424,39302.33,51918.58
1760618072,9,43097612,61553236,402,42087.51,60110.58
1760618073,10,45985332,61553236,426,44907.55,60110.58
1760618074,11,48846912,64174676,405,47702.06,62670.58
1760618074,11,51732792,72071764,389,50520.30,70382.58
1760618075,12,54613952,72071764,409,53333.94,70382.58
1760618075,12,56457916,72071764,393,55134.68,70382.58
1760618076,13,58252036,75217492,412,56886.75,73454.58
1760618076,13,60096296,84654676,398,58687.79,82670.58
1760618077,14,61810952,84654676,415,60362.26,82670.58
1760618077,14,62435292,84695636,394,60971.96,82710.58
1760618078,15,62705240,84695636,375,61235.59,82710.58
1760618079,16,63565344,84695636,388,62075.53,82710.58
1760618079,16,64308452,84695636,376,62801.22,82710.58
1760618080,17,64585972,84695636,385,63072.24,82710.58
1760618080,17,64856928,84695636,367,63336.84,82710.58
1760618081,18,65095308,84695636,352,63569.64,82710.58
1760618082,19,65131032,84695636,359,63604.52,82710.58
1760618082,19,65233376,84695636,347,63704.47,82710.58
1760618083,20,65330664,84695636,354,63799.48,82710.58
1760618083,20,65323728,84695636,342,63792.70,82710.58
1760618084,21,65323024,84695636,331,63792.02,82710.58
1760618085,22,65320260,84695636,334,63789.32,82710.58
1760618085,22,65319896,88480344,324,63788.96,86406.59
1760618086,23,65317760,88468056,330,63786.88,86394.59
1760618086,23,65316492,88468056,321,63785.64,86394.59
1760618087,24,65313132,88468056,312,63782.36,86394.59
1760618088,25,65313796,88468056,317,63783.00,86394.59
1760618088,25,65313052,88570460,309,63782.28,86494.59
1760618089,26,65312120,92240476,314,63781.37,90078.59
1760618089,26,65310320,95910492,305,63779.61,93662.59
1760618090,27,65308620,96012896,297,63777.95,93762.59
1760618091,28,65309196,96012896,300,63778.51,93762.59
1760618091,28,65303672,96012896,293,63773.12,93762.59
1760618092,29,65303444,96012896,295,63772.89,93762.59
1760618092,29,65301080,96012896,288,63770.59,93762.59
1760618093,30,65300860,96012896,281,63770.37,93762.59
1760618094,31,65300500,96012896,284,63770.02,93762.59
1760618094,31,65299948,96012896,277,63769.48,93762.59
1760618095,32,65299068,96012896,280,63768.62,93762.59
1760618095,32,65300540,96012896,274,63770.06,93762.59
1760618096,33,65298116,96012896,270,63767.69,93762.59
1760618097,34,65296628,96012896,273,63766.24,93762.59
1760618097,34,65294504,96012896,268,63764.16,93762.59
1760618098,35,65293140,96012896,272,63762.83,93762.59
1760618098,35,65293020,96012896,267,63762.71,93762.59
1760618099,36,65292392,96012896,263,63762.10,93762.59
1760618100,37,65291988,96012896,267,63761.71,93762.59
1760618100,37,65291028,96012896,263,63760.77,93762.59
1760618101,38,65290564,96012896,266,63760.32,93762.59
1760618101,38,65290784,96012896,261,63760.53,93762.59
1760618102,39,65287668,96012896,257,63757.49,93762.59
1760618103,40,65287220,96012896,260,63757.05,93762.59
1760618103,40,65286136,96012896,257,63755.99,93762.59
1760618104,41,65286812,96012896,260,63756.65,93762.59
1760618104,41,65285260,96012896,256,63755.14,93762.59
1760618105,42,65283748,96012896,253,63753.66,93762.59
1760618106,43,65283056,96012896,256,63752.98,93762.59
1760618106,43,65284172,100207200,252,63754.07,97858.59
1760618107,44,65282792,100207200,254,63752.73,97858.59
1760618107,44,65279980,100207200,250,63749.98,97858.59
1760618108,45,65281228,100207200,253,63751.20,97858.59
1760618109,46,65282152,100207200,249,63752.10,97858.59
1760618109,46,65280576,100207200,247,63750.56,97858.59
1760618110,47,65281656,104401504,249,63751.62,101954.59
1760618110,47,65280968,104401504,247,63750.95,101954.59
1760618111,48,65279972,104401504,249,63749.97,101954.59
1760618112,49,65279164,104401504,246,63749.18,101954.59
1760618112,49,65279612,104401504,244,63749.62,101954.59
1760618113,50,65277260,104401504,245,63747.32,101954.59
1760618113,50,65277012,104401504,242,63747.08,101954.59
1760618114,51,65274820,104401504,244,63744.94,101954.59
1760618115,52,65272876,104401504,240,63743.04,101954.59
1760618115,52,65272184,108595808,237,63742.37,106050.59
1760618116,53,65270676,108595808,239,63740.89,106050.59
1760618116,53,65271028,108595808,237,63741.24,106050.59
1760618117,54,65269152,108595808,239,63739.41,106050.59
1760618118,55,65268696,108595808,237,63738.96,106050.59
1760618118,55,65268376,108595808,235,63738.65,106050.59
1760618119,56,65267116,108595808,237,63737.42,106050.59
1760618119,56,65266340,108595808,234,63736.66,106050.59
1760618120,57,65266128,108595808,236,63736.45,106050.59
1760618121,58,65267316,108644960,233,63737.61,106098.59
1760618121,58,65265772,108644960,231,63736.11,106098.59
1760618122,59,65265800,108644960,233,63736.13,106098.59
1760618122,59,65265516,108644960,231,63735.86,106098.59
1760618123,60,65265640,108644960,228,63735.98,106098.59
1760618124,61,65266872,108644960,230,63737.18,106098.59
1760618124,61,65265644,108644960,228,63735.98,106098.59
1760618125,62,65259648,108644960,229,63730.12,106098.59
1760618126,63,65257736,108644960,228,63728.26,106098.59
1760618126,63,65256672,108644960,226,63727.22,106098.59
1760618127,64,65253152,108644960,228,63723.78,106098.59
1760618127,64,65254316,108644960,226,63724.92,106098.59
1760618128,65,65254008,108644960,228,63724.62,106098.59
1760618128,65,65254396,108644960,226,63725.00,106098.59
1760618129,66,65254992,113887840,223,63725.58,111218.59
1760618130,67,65255636,113887840,225,63726.21,111218.59
1760618130,67,65255240,113887840,223,63725.82,111218.59
1760618131,68,65256108,113887840,225,63726.67,111218.59
1760618131,68,65256420,113887840,223,63726.97,111218.59
1760618132,69,65256612,113887840,225,63727.16,111218.59
1760618133,70,65256860,113887840,223,63727.40,111218.59
1760618133,70,65255908,113887840,222,63726.47,111218.59
1760618134,71,65254180,113887840,223,63724.79,111218.59
1760618134,71,65254000,113887840,221,63724.61,111218.59
1760618135,72,65253808,113887840,222,63724.42,111218.59
1760618135,72,65253272,113887840,220,63723.90,111218.59
1760618136,73,65252720,113887840,219,63723.36,111218.59
1760618137,74,65251344,113887840,220,63722.02,111218.59
1760618137,74,65251348,113887840,218,63722.02,111218.59
1760618138,75,65249644,113887840,219,63720.36,111218.59
1760618138,75,65249680,119130720,217,63720.39,116338.59
1760618139,76,65248328,119130720,218,63719.07,116338.59
1760618140,77,65247344,119130720,216,63718.11,116338.59
1760618140,77,65246004,119130720,214,63716.80,116338.59
1760618141,78,65246404,119130720,215,63717.19,116338.59
1760618141,78,65245668,119130720,213,63716.47,116338.59
1760618142,79,65244140,119130720,214,63714.98,116338.59
1760618142,79,65244024,119130720,213,63714.87,116338.59
1760618143,80,65243624,119130720,211,63714.48,116338.59
1760618144,81,65242736,119130720,213,63713.61,116338.59
1760618144,81,65242692,119130720,211,63713.57,116338.59
1760618145,82,65241916,119130720,213,63712.81,116338.59
1760618145,82,65240700,119130720,211,63711.62,116338.59
1760618146,83,65238396,119130720,212,63709.37,116338.59
1760618147,84,65240056,119130720,211,63710.99,116338.59
1760618147,84,65239308,119130720,209,63710.26,116338.59
1760618148,85,65239972,119130720,211,63710.91,116338.59
1760618148,85,65239000,125422176,209,63709.96,122482.59
1760618149,86,65237760,125422176,210,63708.75,122482.59
1760618150,87,65236620,125422176,209,63707.64,122482.59
1760618150,87,65236096,125422176,207,63707.12,122482.59
1760618151,88,65234768,125422176,208,63705.83,122482.59
1760618151,88,65235280,125422176,206,63706.33,122482.59
1760618152,89,65235040,125422176,208,63706.09,122482.59
1760618152,89,65232916,125422176,206,63704.02,122482.59
1760618153,90,65227128,125422176,205,63698.37,122482.59
1760618154,91,65228576,125422176,206,63699.78,122482.59
1760618154,91,65227284,125422176,205,63698.52,122482.59
1760618155,92,65224904,125422176,206,63696.20,122482.59
1760618155,92,65224908,125422176,204,63696.20,122482.59
1760618156,93,65224064,125422176,205,63695.38,122482.59
1760618157,94,65224140,125422176,204,63695.45,122482.59
1760618157,94,65223428,125422176,203,63694.75,122482.59
1760618158,95,65221932,125422176,203,63693.29,122482.59
1760618158,95,65221068,125422176,202,63692.45,122482.59
1760618159,96,65220240,125422176,203,63691.64,122482.59
1760618159,96,65219680,125422176,202,63691.09,122482.59
1760618160,97,65218360,125422176,201,63689.80,122482.59
1760618161,98,65216712,125422176,201,63688.20,122482.59
1760618161,98,65216084,131713632,200,63687.58,128626.59
1760618162,99,65215384,131713632,201,63686.90,128626.59
1760618162,99,65214400,131713632,200,63685.94,128626.59
1760618163,100,65214612,131713632,200,63686.14,128626.59
1760618164,101,65214880,131713632,199,63686.41,128626.59
1760618164,101,65213680,131713632,198,63685.23,128626.59
1760618165,102,65213724,131713632,199,63685.28,128626.59
1760618165,102,65212972,131713632,198,63684.54,128626.59
