========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_origin
Query File: graph/q6.sql
Database File: graph_db
Start Time: Thu Oct 16 12:42:13 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 776822
Memory monitoring started at: Thu Oct 16 12:42:13 UTC 2025
Memory CSV file: log/memory_duckdb_origin_graph_q6_20251016_124213_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 23256 KB at 0s
New Peak VSZ: 67768 KB at 0s
New Peak RSS: 118108 KB at 1s
New Peak VSZ: 4712104 KB at 1s
New Peak RSS: 145352 KB at 1s
New Peak VSZ: 5598888 KB at 1s
New Peak CPU: 429% at 1s
New Peak RSS: 182416 KB at 2s
New Peak VSZ: 5643944 KB at 2s
New Peak CPU: 651% at 2s
New Peak RSS: 211100 KB at 3s
New Peak VSZ: 5669544 KB at 3s
New Peak RSS: 223468 KB at 3s
New Peak VSZ: 5682856 KB at 3s
New Peak RSS: 236816 KB at 4s
New Peak VSZ: 5699240 KB at 4s
New Peak RSS: 249656 KB at 4s
New Peak VSZ: 5711528 KB at 4s
New Peak RSS: 265252 KB at 5s
New Peak VSZ: 5733032 KB at 5s
New Peak RSS: 276992 KB at 5s
New Peak VSZ: 5749416 KB at 5s
New Peak RSS: 293396 KB at 6s
New Peak RSS: 307188 KB at 6s
New Peak VSZ: 5778088 KB at 6s
New Peak RSS: 321128 KB at 7s
New Peak RSS: 338548 KB at 7s
New Peak VSZ: 5802664 KB at 7s
New Peak RSS: 345864 KB at 8s
New Peak VSZ: 5812904 KB at 8s
New Peak RSS: 347540 KB at 9s
New Peak RSS: 350392 KB at 9s
New Peak RSS: 354860 KB at 10s
New Peak VSZ: 5825192 KB at 10s
New Peak RSS: 360852 KB at 10s
New Peak RSS: 365464 KB at 11s
Sample 20: RSS=356.90MB, VSZ=5688.66MB, CPU=299%, Elapsed=11s
New Peak RSS: 370012 KB at 11s
New Peak VSZ: 5839528 KB at 11s
New Peak RSS: 373712 KB at 12s
New Peak VSZ: 5853864 KB at 12s
New Peak RSS: 377784 KB at 12s
New Peak RSS: 383600 KB at 13s
New Peak RSS: 389824 KB at 13s
New Peak VSZ: 5870248 KB at 13s
New Peak RSS: 394496 KB at 14s
New Peak RSS: 399460 KB at 15s
New Peak RSS: 404548 KB at 15s
New Peak RSS: 411524 KB at 16s
New Peak VSZ: 5890728 KB at 16s
New Peak RSS: 416272 KB at 16s
New Peak RSS: 422960 KB at 17s
New Peak RSS: 428420 KB at 17s
New Peak VSZ: 5915304 KB at 17s
New Peak RSS: 434248 KB at 18s
New Peak VSZ: 5915436 KB at 18s
New Peak RSS: 441988 KB at 18s
New Peak RSS: 450572 KB at 19s
New Peak RSS: 458684 KB at 20s
New Peak VSZ: 5944108 KB at 20s
New Peak RSS: 468256 KB at 20s
New Peak VSZ: 5960492 KB at 20s
New Peak RSS: 475616 KB at 21s
New Peak RSS: 477112 KB at 21s
New Peak RSS: 478372 KB at 22s
Sample 40: RSS=467.16MB, VSZ=5820.79MB, CPU=240%, Elapsed=22s
New Peak RSS: 479164 KB at 22s
New Peak RSS: 479956 KB at 23s
New Peak RSS: 480708 KB at 23s
New Peak RSS: 481764 KB at 24s
New Peak RSS: 482556 KB at 24s
New Peak RSS: 483412 KB at 25s
