========================================
MEMORY MONITORING LOG
========================================
DuckDB Path: ./duckdb_origin
Query File: job_agg/22c.sql
Database File: job_db
Start Time: Thu Oct 16 12:22:33 UTC 2025
========================================

Starting DuckDB process...
DuckDB PID: 731778
Memory monitoring started at: Thu Oct 16 12:22:33 UTC 2025
Memory CSV file: log/memory_duckdb_origin_job_agg_22c_20251016_122233_memory.csv
No timeout - will run until completion
----------------------------------------
New Peak RSS: 20508 KB at 0s
New Peak VSZ: 63912 KB at 0s
New Peak RSS: 699000 KB at 1s
New Peak VSZ: 6424720 KB at 1s
New Peak RSS: 2188028 KB at 1s
New Peak VSZ: 7971984 KB at 1s
New Peak CPU: 2977% at 1s
New Peak RSS: 4031884 KB at 2s
New Peak VSZ: 10762180 KB at 2s
New Peak CPU: 5017% at 2s
New Peak RSS: 5379988 KB at 2s
New Peak VSZ: 11897356 KB at 2s
New Peak RSS: 7393128 KB at 3s
New Peak VSZ: 14134612 KB at 3s
New Peak RSS: 8077588 KB at 4s
New Peak VSZ: 15618184 KB at 4s
New Peak RSS: 8927276 KB at 4s
New Peak VSZ: 16699992 KB at 4s
New Peak RSS: 9714732 KB at 5s
New Peak VSZ: 17517304 KB at 5s
New Peak RSS: 9880600 KB at 5s
New Peak RSS: 9905684 KB at 6s
New Peak RSS: 10073908 KB at 6s
New Peak RSS: 10351232 KB at 7s
New Peak VSZ: 17746680 KB at 7s
New Peak RSS: 10659064 KB at 7s
New Peak VSZ: 18434808 KB at 7s
New Peak RSS: 10968320 KB at 8s
New Peak VSZ: 19008248 KB at 8s
New Peak RSS: 11282348 KB at 9s
New Peak VSZ: 19491576 KB at 9s
New Peak RSS: 11587300 KB at 9s
New Peak VSZ: 19663608 KB at 9s
New Peak RSS: 11900632 KB at 10s
New Peak VSZ: 19720952 KB at 10s
New Peak RSS: 12213860 KB at 10s
New Peak VSZ: 19983096 KB at 10s
New Peak RSS: 12524404 KB at 11s
New Peak VSZ: 20572920 KB at 11s
Sample 20: RSS=12230.86MB, VSZ=20090.74MB, CPU=1751%, Elapsed=11s
New Peak RSS: 12836492 KB at 11s
New Peak VSZ: 21162744 KB at 11s
New Peak RSS: 13153428 KB at 12s
New Peak VSZ: 21555960 KB at 12s
New Peak RSS: 13467836 KB at 12s
New Peak VSZ: 21949176 KB at 12s
New Peak RSS: 13782704 KB at 13s
New Peak VSZ: 22014712 KB at 13s
New Peak RSS: 14100900 KB at 14s
New Peak RSS: 14413464 KB at 14s
New Peak VSZ: 22178552 KB at 14s
New Peak RSS: 14742852 KB at 15s
New Peak VSZ: 22915832 KB at 15s
New Peak RSS: 15059288 KB at 15s
New Peak VSZ: 23489272 KB at 15s
New Peak RSS: 15369852 KB at 16s
New Peak VSZ: 24079096 KB at 16s
New Peak RSS: 15681268 KB at 16s
New Peak VSZ: 24570616 KB at 16s
New Peak RSS: 15991828 KB at 17s
New Peak VSZ: 24652536 KB at 17s
New Peak RSS: 16303412 KB at 17s
New Peak VSZ: 24898296 KB at 17s
New Peak RSS: 16613972 KB at 18s
New Peak RSS: 16924252 KB at 19s
New Peak RSS: 17235472 KB at 19s
New Peak VSZ: 25193208 KB at 19s
New Peak RSS: 17568080 KB at 20s
New Peak VSZ: 25783032 KB at 20s
New Peak RSS: 17878776 KB at 20s
New Peak VSZ: 26471160 KB at 20s
New Peak RSS: 18188608 KB at 21s
New Peak VSZ: 27683576 KB at 21s
New Peak RSS: 18499316 KB at 21s
New Peak VSZ: 28076792 KB at 21s
New Peak RSS: 18814968 KB at 22s
New Peak VSZ: 28273400 KB at 22s
Sample 40: RSS=18373.99MB, VSZ=27610.74MB, CPU=904%, Elapsed=22s
New Peak RSS: 19129052 KB at 23s
New Peak VSZ: 28470008 KB at 23s
New Peak RSS: 19436696 KB at 23s
New Peak VSZ: 28568312 KB at 23s
New Peak RSS: 19747528 KB at 24s
New Peak RSS: 20059080 KB at 24s
New Peak RSS: 20469948 KB at 25s
New Peak VSZ: 28683000 KB at 25s
New Peak RSS: 20781720 KB at 25s
New Peak VSZ: 28912376 KB at 25s
New Peak RSS: 21096368 KB at 26s
New Peak VSZ: 29600504 KB at 26s
New Peak RSS: 21406468 KB at 27s
New Peak VSZ: 30403320 KB at 27s
New Peak RSS: 21720380 KB at 27s
New Peak VSZ: 31341304 KB at 27s
New Peak RSS: 22031244 KB at 28s
New Peak VSZ: 32144120 KB at 28s
New Peak RSS: 22342248 KB at 28s
New Peak VSZ: 32373496 KB at 28s
New Peak RSS: 22657272 KB at 29s
New Peak RSS: 22971844 KB at 29s
New Peak VSZ: 32602872 KB at 29s
New Peak RSS: 23301048 KB at 30s
New Peak RSS: 23610696 KB at 30s
New Peak RSS: 23923312 KB at 31s
New Peak RSS: 24234320 KB at 32s
New Peak RSS: 24546280 KB at 32s
New Peak RSS: 24859800 KB at 33s
New Peak VSZ: 33127160 KB at 33s
New Peak RSS: 25168188 KB at 33s
New Peak VSZ: 33913592 KB at 33s
Sample 60: RSS=24578.31MB, VSZ=33118.74MB, CPU=616%, Elapsed=33s
New Peak RSS: 25477844 KB at 34s
New Peak VSZ: 34831096 KB at 34s
New Peak RSS: 25792752 KB at 34s
New Peak VSZ: 35617528 KB at 34s
New Peak RSS: 26101092 KB at 35s
New Peak VSZ: 36403960 KB at 35s
New Peak RSS: 26413512 KB at 35s
New Peak VSZ: 37059320 KB at 35s
New Peak RSS: 26724304 KB at 36s
New Peak VSZ: 37190392 KB at 36s
New Peak RSS: 27036332 KB at 37s
New Peak VSZ: 37452536 KB at 37s
New Peak RSS: 27347600 KB at 37s
New Peak RSS: 27657084 KB at 38s
New Peak RSS: 27966432 KB at 38s
New Peak RSS: 28281020 KB at 39s
New Peak RSS: 28588328 KB at 39s
New Peak RSS: 28898964 KB at 40s
New Peak RSS: 29209596 KB at 40s
New Peak VSZ: 37616376 KB at 40s
New Peak RSS: 29535600 KB at 41s
New Peak VSZ: 38271736 KB at 41s
New Peak RSS: 29843268 KB at 41s
New Peak VSZ: 38763256 KB at 41s
New Peak RSS: 30151748 KB at 42s
New Peak VSZ: 40237816 KB at 42s
New Peak RSS: 30438220 KB at 43s
New Peak VSZ: 40917752 KB at 43s
New Peak RSS: 30744852 KB at 43s
New Peak VSZ: 41900792 KB at 43s
New Peak RSS: 31051460 KB at 44s
New Peak VSZ: 42719992 KB at 44s
New Peak RSS: 31357860 KB at 44s
New Peak VSZ: 42883832 KB at 44s
Sample 80: RSS=30622.91MB, VSZ=41878.74MB, CPU=495%, Elapsed=44s
New Peak RSS: 31668892 KB at 45s
