Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617353,0,20508,63912,0.0,20.03,62.41
1760617354,1,699000,6424720,0.0,682.62,6274.14
1760617354,1,2188028,7971984,2977,2136.75,7785.14
1760617355,2,4031884,10762180,5017,3937.39,10509.94
1760617355,2,5379988,11897356,3400,5253.89,11618.51
1760617356,3,7393128,14134612,3032,7219.85,13803.33
1760617357,4,8077588,15618184,3814,7888.27,15252.13
1760617357,4,8927276,16699992,3490,8718.04,16308.59
1760617358,5,9714732,17517304,3942,9487.04,17106.74
1760617358,5,9880600,17517304,3250,9649.02,17106.74
1760617359,6,9905684,17517304,3299,9673.52,17106.74
1760617359,6,10073908,17517304,2775,9837.80,17106.74
1760617360,7,10351232,17746680,2802,10108.62,17330.74
1760617360,7,10659064,18434808,2415,10409.24,18002.74
1760617361,8,10968320,19008248,2124,10711.25,18562.74
1760617362,9,11282348,19491576,2136,11017.92,19034.74
1760617362,9,11587300,19663608,1908,11315.72,19202.74
1760617363,10,11900632,19720952,1922,11621.71,19258.74
1760617363,10,12213860,19983096,1741,11927.60,19514.74
1760617364,11,12524404,20572920,1751,12230.86,20090.74
1760617364,11,12836492,21162744,1602,12535.64,20666.74
1760617365,12,13153428,21555960,1610,12845.14,21050.74
1760617365,12,13467836,21949176,1484,13152.18,21434.74
1760617366,13,13782704,22014712,1376,13459.67,21498.74
1760617367,14,14100900,22014712,1382,13770.41,21498.74
1760617367,14,14413464,22178552,1288,14075.65,21658.74
1760617368,15,14742852,22915832,1294,14397.32,22378.74
1760617368,15,15059288,23489272,1212,14706.34,22938.74
1760617369,16,15369852,24079096,1217,15009.62,23514.74
1760617369,16,15681268,24570616,1144,15313.74,23994.74
1760617370,17,15991828,24652536,1149,15617.02,24074.74
1760617370,17,16303412,24898296,1086,15921.30,24314.74
1760617371,18,16613972,24898296,1030,16224.58,24314.74
1760617372,19,16924252,24898296,1033,16527.59,24314.74
1760617372,19,17235472,25193208,982,16831.52,24602.74
1760617373,20,17568080,25783032,986,17156.33,25178.74
1760617373,20,17878776,26471160,940,17459.74,25850.74
1760617374,21,18188608,27683576,943,17762.31,27034.74
1760617374,21,18499316,28076792,901,18065.74,27418.74
1760617375,22,18814968,28273400,904,18373.99,27610.74
1760617376,23,19129052,28470008,866,18680.71,27802.74
1760617376,23,19436696,28568312,831,18981.15,27898.74
1760617377,24,19747528,28568312,834,19284.70,27898.74
1760617377,24,20059080,28568312,802,19588.95,27898.74
1760617378,25,20469948,28683000,806,19990.18,28010.74
1760617378,25,20781720,28912376,776,20294.65,28234.74
1760617379,26,21096368,29600504,749,20601.92,28906.74
1760617380,27,21406468,30403320,751,20904.75,29690.74
1760617380,27,21720380,31341304,726,21211.31,30606.74
1760617381,28,22031244,32144120,728,21514.89,31390.74
1760617381,28,22342248,32373496,704,21818.60,31614.74
1760617382,29,22657272,32373496,707,22126.24,31614.74
1760617382,29,22971844,32602872,685,22433.44,31838.74
1760617383,30,23301048,32602872,687,22754.93,31838.74
1760617383,30,23610696,32602872,667,23057.32,31838.74
1760617384,31,23923312,32602872,647,23362.61,31838.74
1760617385,32,24234320,32602872,649,23666.33,31838.74
1760617385,32,24546280,32602872,631,23970.98,31838.74
1760617386,33,24859800,33127160,633,24277.15,32350.74
1760617386,33,25168188,33913592,616,24578.31,33118.74
1760617387,34,25477844,34831096,618,24880.71,34014.74
1760617387,34,25792752,35617528,602,25188.23,34782.74
1760617388,35,26101092,36403960,604,25489.35,35550.74
1760617388,35,26413512,37059320,588,25794.45,36190.74
1760617389,36,26724304,37190392,590,26097.95,36318.74
1760617390,37,27036332,37452536,576,26402.67,36574.74
1760617390,37,27347600,37452536,562,26706.64,36574.74
1760617391,38,27657084,37452536,564,27008.87,36574.74
1760617391,38,27966432,37452536,551,27310.97,36574.74
1760617392,39,28281020,37452536,552,27618.18,36574.74
1760617392,39,28588328,37452536,540,27918.29,36574.74
1760617393,40,28898964,37452536,541,28221.64,36574.74
1760617393,40,29209596,37616376,529,28525.00,36734.74
1760617394,41,29535600,38271736,531,28843.36,37374.74
1760617394,41,29843268,38763256,520,29143.82,37854.74
1760617395,42,30151748,40237816,510,29445.07,39294.74
1760617396,43,30438220,40917752,512,29724.82,39958.74
1760617396,43,30744852,41900792,503,30024.27,40918.74
1760617397,44,31051460,42719992,505,30323.69,41718.74
1760617397,44,31357860,42883832,495,30622.91,41878.74
1760617398,45,31668892,43047672,497,30926.65,42038.74
1760617398,45,31978020,43047672,488,31228.54,42038.74
1760617399,46,32289428,43050496,490,31532.64,42041.50
1760617399,46,32626856,43214468,481,31862.16,42201.63
1760617400,47,32939868,43214468,473,32167.84,42201.63
1760617401,48,33251360,43214468,474,32472.03,42201.63
1760617401,48,33567344,43214600,466,32780.61,42201.76
1760617402,49,33881824,43214600,468,33087.72,42201.76
1760617402,49,34194012,43214732,460,33392.59,42201.89
1760617403,50,34505924,43214864,462,33697.19,42202.02
1760617403,50,34822312,43411472,454,34006.16,42394.02
1760617404,51,35137012,43608080,456,34313.49,42586.02
1760617405,52,35483336,44591120,449,34651.70,43546.02
1760617405,52,35799436,45508624,442,34960.39,44442.02
1760617406,53,36115860,47081488,443,35269.39,45978.02
1760617406,53,36435144,47867920,436,35581.20,46746.02
1760617407,54,36750784,48850960,438,35889.44,47706.02
1760617407,54,37067440,49834132,431,36198.67,48666.14
1760617408,55,37380652,50030740,433,36504.54,48858.14
1760617408,55,37694588,50227348,426,36811.12,49050.14
1760617409,56,38011044,50227348,428,37120.16,49050.14
1760617410,57,38338756,50424088,422,37440.19,49242.27
1760617410,57,38659284,50424088,416,37753.21,49242.27
1760617411,58,38977244,50424088,417,38063.71,49242.27
1760617411,58,39290072,50424088,411,38369.21,49242.27
1760617412,59,39610780,50424088,413,38682.40,49242.27
1760617412,59,39923352,50424088,407,38987.65,49242.27
1760617413,60,40235252,50424088,408,39292.24,49242.27
1760617413,60,40553900,50424220,403,39603.42,49242.40
1760617414,61,40869992,50424220,398,39912.10,49242.40
1760617415,62,41224856,50424220,399,40258.65,49242.40
1760617415,62,41539400,50424220,394,40565.82,49242.40
1760617416,63,41859148,50653596,395,40878.07,49466.40
1760617416,63,42175520,50653596,390,41187.03,49466.40
1760617417,64,42489272,51800476,391,41493.43,50586.40
1760617417,64,42799872,52517412,386,41796.75,51286.54
1760617418,65,43103372,53434916,388,42093.14,52182.54
1760617419,66,43419768,54581796,383,42402.12,53302.54
1760617419,66,43733652,56416804,378,42708.64,55094.54
1760617420,67,44064544,57334440,380,43031.78,55990.66
1760617420,67,44379040,58022568,375,43338.91,56662.66
1760617421,68,44697608,58022568,376,43650.01,56662.66
1760617421,68,45013156,58251944,372,43958.16,56886.66
1760617422,69,45331008,58481320,373,44268.56,57110.66
1760617422,69,45646132,58481320,369,44576.30,57110.66
1760617423,70,45963532,58481320,365,44886.26,57110.66
1760617424,71,46277816,58481320,366,45193.18,57110.66
1760617424,71,46594624,58481616,362,45502.56,57110.95
1760617425,72,46922928,58481616,363,45823.17,57110.95
1760617425,72,47235616,58481616,359,46128.53,57110.95
1760617426,73,47551680,58874832,360,46437.19,57494.95
1760617426,73,47864808,58874832,356,46742.98,57494.95
1760617427,74,48179496,58874832,357,47050.29,57494.95
1760617427,74,48496716,58874832,354,47360.07,57494.95
1760617428,75,48810992,58874832,350,47666.98,57494.95
1760617429,76,49125656,58874832,351,47974.27,57494.95
1760617429,76,49442084,58874832,348,48283.29,57494.95
1760617430,77,49785188,59136976,349,48618.35,57750.95
1760617430,77,50100912,59136976,345,48926.67,57750.95
1760617431,78,50411604,59661264,347,49230.08,58262.95
1760617431,78,50725404,60185552,343,49536.53,58774.95
1760617432,79,51042220,60971984,344,49845.92,59542.95
1760617432,79,51355660,62020560,341,50152.01,60566.95
1760617433,80,51672884,63331280,338,50461.80,61846.95
1760617434,81,51988996,65166288,339,50770.50,63638.95
1760617434,81,52304684,66247632,336,51078.79,64694.95
1760617435,82,52630060,67034196,337,51396.54,65463.08
1760617435,82,52945480,67296340,334,51704.57,65719.08
1760617436,83,53259524,67820628,335,52011.25,66231.08
1760617436,83,53571868,68082772,332,52316.28,66487.08
1760617437,84,53882844,68082908,333,52619.96,66487.21
1760617437,84,54195376,68082908,330,52925.17,66487.21
1760617438,85,54508532,68082908,327,53230.99,66487.21
1760617439,86,54819816,68082908,328,53534.98,66487.21
1760617439,86,54842592,68083040,325,53557.22,66487.34
1760617440,87,54845084,68083172,326,53559.65,66487.47
1760617440,87,54848888,68083172,323,53563.37,66487.47
1760617441,88,54852976,68083172,324,53567.36,66487.47
1760617441,88,54853592,68083172,321,53567.96,66487.47
1760617442,89,54858028,68083172,321,53572.29,66487.47
1760617443,90,54861904,68083172,319,53576.08,66487.47
1760617443,90,54866620,68083172,316,53580.68,66487.47
1760617444,91,54869760,68083172,317,53583.75,66487.47
1760617444,91,54873692,68083172,314,53587.59,66487.47
1760617445,92,54875708,68083172,315,53589.56,66487.47
1760617445,92,54877620,68083172,313,53591.43,66487.47
1760617446,93,54880648,68083172,314,53594.38,66487.47
1760617446,93,54883900,68083172,311,53597.56,66487.47
1760617447,94,54886740,68083172,309,53600.33,66487.47
1760617448,95,54889300,68083172,309,53602.83,66487.47
1760617448,95,54891636,68083172,307,53605.11,66487.47
1760617449,96,54893684,68083172,308,53607.11,66487.47
1760617449,96,54897096,68083172,305,53610.45,66487.47
1760617450,97,54899620,68083172,306,53612.91,66487.47
1760617450,97,54901960,68083172,304,53615.20,66487.47
1760617451,98,54904428,68083172,305,53617.61,66487.47
1760617451,98,54910976,68083172,303,53624.00,66487.47
1760617452,99,54912056,68083308,304,53625.05,66487.61
1760617452,99,54916332,68083308,301,53629.23,66487.61
1760617453,100,54915864,68083308,299,53628.77,66487.61
1760617454,101,54920932,68083308,300,53633.72,66487.61
1760617454,101,54921716,68083308,297,53634.49,66487.61
1760617455,102,54925552,68083308,298,53638.23,66487.61
1760617455,102,54930864,68083308,296,53643.42,66487.61
1760617456,103,54932360,68083452,296,53644.88,66487.75
1760617456,103,54933380,68083588,294,53645.88,66487.88
1760617457,104,54933708,68083588,295,53646.20,66487.88
1760617457,104,54936708,68083588,293,53649.13,66487.88
1760617458,105,54938708,68083588,293,53651.08,66487.88
1760617459,106,54942140,68083588,291,53654.43,66487.88
1760617459,106,54944896,68083724,289,53657.12,66488.01
1760617460,107,54949388,68083724,290,53661.51,66488.01
1760617460,107,54954664,68083724,288,53666.66,66488.01
1760617461,108,54955672,68083724,288,53667.65,66488.01
1760617461,108,54958672,68083724,286,53670.58,66488.01
1760617462,109,54962336,68083724,287,53674.16,66488.01
1760617462,109,55251940,68083856,292,53956.97,66488.14
1760617463,110,55288432,68084460,310,53992.61,66488.73
1760617464,111,55338464,68085460,329,54041.47,66489.71
1760617464,111,55361908,68085460,355,54064.36,66489.71
1760617465,112,55429340,68087140,376,54130.21,66491.35
1760617465,112,55446964,68087564,407,54147.43,66491.76
1760617466,113,53278052,73330444,416,52029.35,71611.76
1760617466,113,55098552,73330444,438,53807.18,71611.76
1760617467,114,41079404,73330444,442,40116.61,71611.76
1760617468,115,30139228,73330444,445,29432.84,71611.76
1760617468,115,25186956,72781312,443,24596.64,71075.50
1760617469,116,24623728,72781312,443,24046.61,71075.50
1760617469,116,23815928,72774976,440,23257.74,71069.31
1760617470,117,18143468,72774976,440,17718.23,71069.31
1760617470,117,12626920,72774976,437,12330.98,71069.31
1760617471,118,6796308,72774976,438,6637.02,71069.31
1760617471,118,0,0,434,0.00,0.00
