Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617716,0,25272,69056,0.0,24.68,67.44
1760617717,1,736256,6593548,679,719.00,6439.01
1760617717,1,2188404,8019232,1049,2137.11,7831.28
1760617718,2,4592352,10711580,2009,4484.72,10460.53
1760617718,2,6756512,12952092,1986,6598.16,12648.53
1760617719,3,10178624,18785820,2866,9940.06,18345.53
1760617719,3,12240264,20448796,2833,11953.38,19969.53
1760617720,4,10656992,20801052,3028,10407.22,20313.53
1760617720,4,10659708,20801052,2464,10409.87,20313.53
1760617721,5,10660444,20801052,2079,10410.59,20313.53
1760617722,6,10590324,20801052,2096,10342.11,20313.53
1760617722,6,10596452,20801052,1813,10348.10,20313.53
1760617723,7,10592520,20801052,1834,10344.26,20313.53
1760617723,7,10525708,20801052,1622,10279.01,20313.53
1760617724,8,10493652,20801052,1639,10247.71,20313.53
1760617724,8,10509448,20801052,1474,10263.13,20313.53
1760617725,9,10504140,20801052,1492,10257.95,20313.53
1760617725,9,10498868,20801052,1360,10252.80,20313.53
1760617726,10,10534880,20801052,1248,10287.97,20313.53
1760617727,11,10558920,20801052,1259,10311.45,20313.53
1760617727,11,10614652,20801052,1162,10365.87,20313.53
1760617728,12,10753244,20801052,1169,10501.21,20313.53
1760617728,12,10965076,20801052,1085,10708.08,20313.53
1760617729,13,11212952,20858396,1091,10950.15,20369.53
1760617729,13,11509256,20858396,1019,11239.51,20369.53
1760617730,14,11817376,21251612,1024,11540.41,20753.53
1760617730,14,12124324,21710364,961,11840.16,21201.53
1760617731,15,12437520,22234652,905,12146.02,21713.53
1760617732,16,12747576,22627868,909,12448.80,22097.53
1760617732,16,13060312,22971932,860,12754.21,22433.53
1760617733,17,13371956,23168540,864,13058.55,22625.53
1760617733,17,13683532,23168540,821,13362.82,22625.53
1760617734,18,13992060,23676444,825,13664.12,23121.53
1760617734,18,14301128,24086044,785,13965.95,23521.53
1760617735,19,14630380,24495644,790,14287.48,23921.53
1760617735,19,14941048,25232924,754,14590.87,24641.53
1760617736,20,15254276,25560604,722,14896.75,24961.53
1760617737,21,15564944,25970204,725,15200.14,25361.53
1760617737,21,15876748,26052124,695,15504.64,25441.53
1760617738,22,16185968,26052124,699,15806.61,25441.53
1760617738,22,16497876,26150428,671,16111.21,25537.53
1760617739,23,16806664,26543644,674,16412.76,25921.53
1760617739,23,17117784,26936860,649,16716.59,26305.53
1760617740,24,17441692,27624988,652,17032.90,26977.53
1760617740,24,17754076,28018204,629,17337.96,27361.53
1760617741,25,18066220,28706332,608,17642.79,28033.53
1760617742,26,18377356,29296156,611,17946.64,28609.53
1760617742,26,18687592,29296156,591,18249.60,28609.53
1760617743,27,18999248,29591068,593,18553.95,28897.53
1760617743,27,19310164,29591068,575,18857.58,28897.53
1760617744,28,19619136,29705756,577,19159.31,29009.53
1760617744,28,19931068,29705756,560,19463.93,29009.53
1760617745,29,20250812,30279196,563,19776.18,29569.53
1760617745,29,20559204,30508572,547,20077.35,29793.53
1760617746,30,20868220,31217180,531,20379.12,30485.53
1760617747,31,21177456,31561244,534,20681.11,30821.53
1760617747,31,21488032,32593436,519,20984.41,31829.53
1760617748,32,21799140,33052188,522,21288.22,32277.53
1760617748,32,22107464,33166876,508,21589.32,32389.53
1760617749,33,22417652,33625628,510,21892.24,32837.53
1760617749,33,22725400,33740316,497,22192.77,32949.53
1760617750,34,23035156,33740316,499,22495.27,32949.53
1760617750,34,23344988,33740316,487,22797.84,32949.53
1760617751,35,23656784,33740316,489,23102.33,32949.53
1760617752,36,23964760,34133532,477,23403.09,33333.53
1760617752,36,24275532,34526748,466,23706.57,33717.53
1760617753,37,24589304,34788892,468,24012.99,33973.53
1760617753,37,24896624,35313180,457,24313.11,34485.53
1760617754,38,25207792,36230684,459,24616.98,35381.53
1760617754,38,25520776,37017116,449,24922.63,36149.53
1760617755,39,25831536,37541404,451,25226.11,36661.53
1760617755,39,26160968,37934752,441,25547.82,37045.66
1760617756,40,26473296,37934752,443,25852.83,37045.66
1760617757,41,26782312,38196896,434,26154.60,37301.66
1760617757,41,27093816,38459040,425,26458.80,37557.66
1760617758,42,27400556,38459040,427,26758.36,37557.66
1760617758,42,27712148,38459040,419,27062.64,37557.66
1760617759,43,28018920,38459040,420,27362.23,37557.66
1760617759,43,28327996,38459172,412,27664.06,37557.79
1760617760,44,28638928,39278372,414,27967.70,38357.79
1760617760,44,28952292,39278372,406,28273.72,38357.79
1760617761,45,29271364,39606052,408,28585.32,38677.79
1760617761,45,29583624,40097572,401,28890.26,39157.79
1760617762,46,29898072,41105188,394,29197.34,40141.79
1760617763,47,30204552,42415908,395,29496.63,41421.79
1760617763,47,30517172,42907428,388,29801.93,41901.79
1760617764,48,30831356,43237932,390,30108.75,42224.54
1760617764,48,31142536,43729452,384,30412.63,42704.54
1760617765,49,31456764,44057132,385,30719.50,43024.54
1760617765,49,31775352,44384812,379,31030.62,43344.54
1760617766,50,32098136,44384944,381,31345.84,43344.67
1760617767,51,32416652,44384944,375,31656.89,43344.67
1760617767,51,32724968,44384944,369,31957.98,43344.67
1760617768,52,33040076,44384944,371,32265.70,43344.67
1760617768,52,33352048,44384944,365,32570.36,43344.67
1760617769,53,33661752,44384944,367,32872.80,43344.67
1760617769,53,33970576,44384944,362,33174.39,43344.67
1760617770,54,34284888,44581684,364,33481.34,43536.80
1760617770,54,34594828,45171508,358,33784.01,44112.80
1760617771,55,34905424,45564724,360,34087.33,44496.80
1760617771,55,35217684,45761332,355,34392.27,44688.80
1760617772,56,35525872,46351156,350,34693.23,45264.80
1760617773,57,35833952,48317236,352,34994.09,47184.80
1760617773,57,36148884,49300276,347,35301.64,48144.80
1760617774,58,36462772,49693624,349,35608.18,48528.93
1760617774,58,36777604,49890232,344,35915.63,48720.93
