Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760618733,0,30924,75172,0.0,30.20,73.41
1760618734,1,1053068,6877012,2116,1028.39,6715.83
1760618735,2,1066364,6877012,8606,1041.37,6715.83
1760618736,3,1068436,6877012,7190,1043.39,6715.83
1760618737,4,1069072,6877012,6210,1044.02,6715.83
1760618737,4,1069896,6877012,6122,1044.82,6715.83
1760618738,5,1069644,6877012,6062,1044.57,6715.83
1760618739,6,1068740,6877012,7155,1043.69,6715.83
1760618740,7,1068476,6877012,6925,1043.43,6715.83
1760618740,7,1067892,6877012,6723,1042.86,6715.83
1760618741,8,1068328,6877012,6600,1043.29,6715.83
1760618742,9,1069136,6877012,7353,1044.08,6715.83
1760618743,10,1069348,6877012,7152,1044.29,6715.83
1760618744,11,1069088,6877012,7020,1044.03,6715.83
1760618745,12,1069316,6877012,6907,1044.25,6715.83
1760618745,12,1069264,6877012,6810,1044.20,6715.83
1760618746,13,1068736,6877012,7265,1043.69,6715.83
1760618746,13,1069272,6877012,7022,1044.21,6715.83
1760618747,14,1069244,6877012,6826,1044.18,6715.83
1760618748,15,1069316,6877012,7199,1044.25,6715.83
1760618749,16,1069240,6877012,7005,1044.18,6715.83
1760618749,16,1070996,6877012,6926,1045.89,6715.83
1760618750,17,1070732,6877012,6865,1045.64,6715.83
1760618751,18,1070076,6877012,7168,1045.00,6715.83
1760618751,18,1067640,6877012,6973,1042.62,6715.83
1760618752,19,1066712,6877012,7161,1041.71,6715.83
1760618752,19,1062148,6877012,6949,1037.25,6715.83
1760618753,20,1061556,6877012,7110,1036.68,6715.83
1760618754,21,1060436,6877012,6904,1035.58,6715.83
1760618754,21,1060800,6877012,6716,1035.94,6715.83
1760618755,22,1060292,6877012,6848,1035.44,6715.83
1760618755,22,1057460,6877012,6658,1032.68,6715.83
1760618756,23,1055876,6877012,6773,1031.13,6715.83
1760618756,23,1054704,6877012,6582,1029.98,6715.83
1760618757,24,1053500,6877012,6681,1028.81,6715.83
1760618757,24,1052336,6877012,6495,1027.67,6715.83
1760618758,25,1051852,6877012,6586,1027.20,6715.83
1760618758,25,1052188,6877012,6407,1027.53,6715.83
1760618759,26,1050976,6877012,6490,1026.34,6715.83
1760618759,26,1051264,6877012,6318,1026.62,6715.83
1760618760,27,1050816,6877012,6156,1026.19,6715.83
1760618761,28,1049532,6877012,6223,1024.93,6715.83
1760618761,28,1046788,6877012,6058,1022.25,6715.83
1760618762,29,1042452,6877012,6098,1018.02,6715.83
1760618762,29,1036440,6877012,5914,1012.15,6715.83
1760618763,30,1035100,6877012,5934,1010.84,6715.83
1760618763,30,1032496,6877012,5747,1008.30,6715.83
1760618764,31,1029420,6877012,5752,1005.29,6715.83
