Timestamp,Elapsed_Seconds,RSS_KB,VSZ_KB,CPU%,RSS_MB,VSZ_MB
1760617334,0,23896,647916,0.0,23.34,632.73
1760617335,1,1337412,7184964,0.0,1306.07,7016.57
1760617335,1,2392416,8432892,2626,2336.34,8235.25
1760617336,2,4279948,11210912,2200,4179.64,10948.16
1760617337,3,7271812,14123168,3514,7101.38,13792.16
1760617337,3,9617016,16349344,3194,9391.62,15966.16
1760617338,4,10976984,18299448,3709,10719.71,17870.55
1760617338,4,9150420,18299548,2940,8935.96,17870.65
1760617339,5,5438908,17749620,2958,5311.43,17333.61
1760617339,5,163208,17749620,2377,159.38,17333.61
